Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	StopIter	Time
150	58.866665	11.504201	69.6	43.3	418.44446	604000	4.0	9374.604478120804
151	52.458332	17.238	68.8	23.05	536.6667	608000	5.0	9433.946331739426
152	50.864285	17.585407	69.5	23.2	278.7143	612000	7.0	9493.419056892395
153	51.8875	18.10949	69.1	21.3	473.75	616000	3.0	9552.32025885582
154	50.715385	19.66218	69.4	7.3	295.07693	620000	5.0	9611.734597682953
155	53.949997	20.265917	69.2	21.9	452.75	624000	5.0	9670.843088388443
156	42.654545	22.038082	69.3	9.5	275.54544	628000	7.0	9735.928519010544
157	63.085716	9.651118	69.1	43.2	551.0	632000	8.0	9802.494683027267
158	60.100002	11.603879	69.3	43.4	438.125	636000	1.0	9869.762292385101
159	61.32	11.783107	69.7	43.2	368.6	640000	6.0	9937.151751041412
160	65.479996	10.730778	69.5	33.3	298.4	644000	3.0	10000.270248651505
161	51.430004	19.874258	69.3	21.5	370.1	648000	9.0	10061.64755320549
162	54.620003	11.856712	69.3	43.0	527.0	652000	16.0	10122.3213326931
163	52.223335	16.686432	69.0	6.3	252.06667	656000	10.0	10182.51749420166
164	53.413334	18.447903	69.3	21.6	263.6	660000	9.0	10242.305363893509
165	46.293747	23.90715	69.4	15.6	245.375	664000	5.0	10301.459273815155
166	63.24091	12.451157	69.7	32.5	343.27274	668000	5.0	10360.649729013443
167	58.339993	17.632198	69.3	6.3	257.06668	672000	14.0	10421.038791894913
168	61.485718	11.504586	69.2	43.2	557.7143	676000	4.0	10480.387378454208
169	54.059086	14.093434	69.5	32.15	243.36363	680000	19.0	10541.153425216675
170	53.54667	13.018187	69.2	32.2	251.2	684000	8.0	10601.625876665115
171	59.196423	17.836346	69.6	7.05	272.85715	688000	8.0	10661.34832572937
172	64.064285	9.60369	69.5	43.4	275.42856	692000	4.0	10720.728474378586
173	60.025005	17.5839	69.4	10.9	320.83334	696000	6.0	10780.47341799736
174	57.428577	16.214651	69.2	21.5	280.07144	700000	7.0	10840.06781077385
175	60.79667	16.627794	69.3	17.7	262.8	704000	6.0	10899.908029556274
176	48.800003	20.861689	69.2	23.2	216.77777	708000	5.0	10960.022769212723
177	62.710716	15.477959	69.4	17.7	269.07144	712000	5.0	11019.411668539047
178	64.988884	7.348839	69.2	49.1	426.1111	716000	14.0	11079.550857305527
179	66.45714	9.424642	69.6	32.5	281.42856	720000	8.0	11139.353031158447
